Date,CPI National Year on Year Inflation,Advances by banks,Auto Sales,Consumer Confidence Index,Call Money Rate (End of Period),IMF Commodity Prices,National Consumer Price Index,Deposit Rate,Pakistani Rupee to US Dollar Nominal Exchange Rate,Economic Policy Uncertainty,Karachi Stock Exchange 100 Index,KIBOR 1 Year Interest Rate,Lending Rate,International Oil Prices,SBP Policy Rate,Public Sector Borrowing,Real Output - Quantum Index of Large-Scale Manufacturing Industries,Real Effective Exchange Rate,Interest Rate Spread,Exchange Rate Differential,Inflation Expectations,Banking Activity Index,Stock Market Volatility,Commodity Price Index
2012-01-01,0.32780785923966704,-0.7472874014801036,-0.4460743541272842,-1.1750792489636679,0.5257924176507148,0.5801299616378295,-0.6910341611285978,0.6262734584450402,-0.31464229595559673,-0.16990875469724784,-2.2276702982228946,0.49949238578680283,0.4387527839643653,0.8699000114929314,0.49285362247412523,-0.6690392502948976,-1.3162219712296164,0.16019186396302765,-0.002036666200966042,0.4748341599186244,0.0329387951765896,-0.6755718124630204,,0.6668926933823169
2012-02-01,0.5038886871603796,-0.7282019868346149,0.40584751102709515,-1.130699829309925,0.6799254195152267,0.6975651765442727,-0.6686487116707457,0.6176943699731906,-0.30655227494965415,0.22135462696227112,-2.146520368794911,0.49746192893401103,0.4253897550111358,1.0078151936559012,0.49285362247412523,-0.6570215953536512,-1.3083377291882694,0.04115290275234114,-0.004067123053757837,0.34770517770199527,0.18707179704110144,-0.6485432844161175,-0.03642815972036817,0.6921558445788254
2012-03-01,0.4510356405086877,-0.7179880854066276,0.3165217391304348,-1.086320409656182,0.6177750155376008,0.6997573005558603,-0.6504605339862406,0.5447721179624667,-0.30562561874691435,-0.24010776529903882,-2.0750073929698205,0.5116751269035542,0.37639198218262826,1.1255028157683022,0.49285362247412523,-0.6522302724679169,-1.302352804109158,0.1170522237575449,-4.760500266498546e-05,0.4226778425044593,0.1249213930634756,-0.657447220043559,-0.03331576856418972,0.621728609428831
2012-04-01,0.5206248052695334,-0.7191988518373008,0.12002520478890989,-1.2048280907095836,0.6326911124922312,0.6878571987786734,-0.6306400839454336,0.551206434316354,-0.30692883748897,-0.009566151972761828,-2.0565102027028934,0.5197969543147215,0.38530066815144765,1.0319503505344212,0.49285362247412523,-0.6435241684849715,-1.2935238635159632,0.2274698683662461,-0.0021194575099483526,0.5343987058552161,0.13983749001810597,-0.651768330822585,-0.008914276801902488,0.6665603615740325
2012-05-01,0.6943501509370804,-0.7128656120460869,0.3595715185885318,-1.3233357717629852,0.5133623368551894,0.5084161904016283,-0.599160545645329,0.574798927613941,-0.2937265895667882,0.15836046624018862,-2.072996019730227,0.5238578680203052,0.4387527839643653,0.8154235145385587,0.49285362247412523,-0.6322303032877611,-1.2805755041792017,0.3353553317950704,-9.727978805473825e-05,0.6290819213618586,0.020508714381064164,-0.6441968504477766,0.00801640420050731,0.6234995451281986
2012-06-01,0.5145275427661,-0.6838387761483632,0.7834152488972905,-1.1175323091928804,0.5755127408328153,0.4219838722304864,-0.5996269091757007,0.6155495978552281,-0.24533917092035015,0.25731402141685816,-2.071799390196294,0.5258883248730974,0.4120267260579067,0.5067233651304445,0.49285362247412523,-0.6184839537513606,-1.2658345610032669,0.20818430047668415,-0.002144294902642674,0.4535234713970343,0.08265911835869011,-0.6463176018793116,-0.0005772464213843476,0.8327697147374608
2012-07-01,0.20317646629012429,-0.693554156878152,-0.6739256458727159,-0.9117288466227755,0.605344934742076,0.5068503875362087,-0.6224787221639251,0.5941018766756032,-0.24215140417047357,0.002222669168316865,-2.00904794325759,0.5218274111675134,0.4387527839643653,0.6455579818411675,0.49285362247412523,-0.6146107953303871,-1.2488451682273995,0.19479613627498235,-0.0021277366408465337,0.4369475404454559,0.11249131226795073,-0.6179746288477452,-0.030288379867105975,0.7851353430572464
2012-08-01,0.1469801032373133,-0.6905063301288475,-0.6808821676118463,-1.0575469397707884,0.38160348042262277,0.47240272449698556,-0.6077882709572097,0.482573726541555,-0.24130283697358249,-0.35226159801345297,-1.942656444748118,0.32284263959390963,0.43429844097995557,0.8448454200666589,0.19714144898965008,-0.6102737505940964,-1.2290337625998247,0.18154020085551928,-0.005393853780199742,0.42284303782910176,0.18446203143297268,-0.6298832284718268,-0.03304624896199382,0.5591587683101988
2012-09-01,0.14209979707363282,-0.6882531089391521,-0.7773660995589162,-1.2033650329188008,0.2473586078309485,0.5272058247866591,-0.5935641832808659,0.38820375335120655,-0.23868945824450713,-0.8194803081809201,-1.9388343501448042,0.19086294416243751,0.380846325167038,0.8627743937478449,0.19714144898965008,-0.5991029105895509,-1.2050943031405714,0.09660965402339063,-0.002816974288124441,0.33529911226789777,0.05021715884129843,-0.6210757970302486,-0.001967457814605722,0.61105872938174
2012-10-01,-0.08334484581922748,-0.6797674810176314,-0.4879143037177064,-1.003413801511827,0.0037290242386576926,0.5412980505754328,-0.5900664568030763,0.22091152815013393,-0.22448767104745976,-0.542762785820869,-1.9011886600945076,0.07715736040609224,0.33184855233853006,0.7908286403861622,0.09857072449482504,-0.566758977395662,-1.1764779299609545,0.029906844822912265,-0.006430814925203476,0.25439451587037204,-0.09484170025616735,-0.5790171576279917,-0.019416661380836864,0.6844694576452321
2012-11-01,-0.21037041792053568,-0.6702050175992816,-0.4968872085696282,-0.8034625701048531,0.0907395898073338,0.499334533782197,-0.5926314562201219,0.13941018766756041,-0.2140324208199172,-0.42710554945099377,-1.8474859654935398,-0.004060913705582948,0.3051224944320714,0.7443971957246291,0.09857072449482504,-0.5631713695974979,-1.1458774747799072,0.007824638188994084,-0.006099649689272292,0.22185705900891128,-0.007831134687491234,-0.5904023117804771,-0.028246904543549167,0.6707904552167512
2012-12-01,-0.05371177093490181,-0.6538482533013686,-0.4027221172022684,-0.816142404291637,0.08825357364822882,0.5387927659907616,-0.5637169173370628,0.1737265415549599,-0.19323471559550248,-0.4716098672321421,-1.8206673859389142,0.0020304568527929165,0.2383073496659243,0.7480749339156415,0.0,-0.552634338101031,-1.1139270245657205,-0.10443759793194174,-8.279130896427737e-06,0.08879711766356074,0.08825357364822882,-0.583399472042873,-0.014516256174894049,0.7202390316309141
2013-01-01,-0.002786440566762789,-0.6496053110542731,-0.5526402016383113,-0.8288222384784203,0.03356121814791791,0.6236592812964848,-0.5394660137577226,0.07506702412868625,-0.18824569577738032,-0.4177556479471779,-1.7933682127783679,-0.018274111675127953,0.22048997772828507,0.8340420641305596,0.0,-0.5375110723070563,-1.0781950245947605,-0.10449048944483817,-0.00196422380560813,0.08375520633254215,0.03356121814791791,-0.5555060482243188,-0.01499404744182209,0.7477551889983072
2013-02-01,-0.1167685300463972,-0.6508676485916566,-0.4909388783868935,-0.7980980248719831,0.0037290242386576926,0.6126986612385503,-0.5280401072636106,0.057908847184986505,-0.17941643218273526,-0.09618273237369303,-1.7180485148727127,-0.0020304568527929165,0.19821826280623617,0.8912768647281919,0.0,-0.5233032003691648,-1.0407776210435684,-0.11877780936576515,8.279130896065613e-06,0.060638622816970106,0.0037290242386576926,-0.5466131789462886,-0.041999014685872305,0.6874392071485014
2013-03-01,-0.2502668640608477,-0.6496181396877831,-0.2694391934467549,-0.7673738112655458,0.07582349285270347,0.5165583653018081,-0.5236096537250774,0.04289544235924956,-0.177958770740223,-0.6854260003474268,-1.7285956836383352,0.018274111675127953,0.16258351893095774,0.7807148603608778,0.0,-0.5121804774492711,-1.007498953102133,-0.04171487507685876,-0.0021132481617723714,0.13624389566336426,0.07582349285270347,-0.5497829655013583,0.0061390401227428,0.6616479223452133
2013-04-01,-0.39838280323740344,-0.6537358744718211,-0.3295274102079395,-0.6449646427700566,0.13797389683032932,0.456118374696626,-0.5194123819517299,0.05361930294906166,-0.17380443562906325,-0.406504266845977,-1.6526141581743583,0.024365482233503457,0.14922048997772863,0.689001264222503,0.0,-0.49606402469959526,-0.9803793201819707,-0.03918930533609307,-0.004176821538159313,0.13461513029297018,0.13797389683032932,-0.5297945329803315,-0.04395563762143129,0.6619993291468464
2013-05-01,-0.5143197386291855,-0.6413421316378156,-0.22659105229993698,-0.5225554742745675,0.10068365444375373,0.40726532529554554,-0.49959193191092327,0.08364611260053632,-0.1726591302099465,-0.2931014540602498,-1.4227844250453987,0.024365482233503457,0.1135857461024502,0.7023330651649233,0.0,-0.46956636812775676,-0.9536610614671626,-0.007950255532122514,-0.00825429350553945,0.164708874677824,0.10068365444375373,-0.5192636739866844,-0.13907041277127408,0.5798749133360405
2013-06-01,-0.41181493454293333,-0.6508050448601278,0.008519218651543793,-0.450377956595953,0.031075201988812928,0.27479840288107743,-0.4881660254168109,0.06434316353887415,-0.16788702429696037,-0.46328737803584946,-1.4889153997482945,-0.02233502538070982,0.05122494432071278,0.7119871279163312,-0.09857072449482504,-0.43551617210163257,-0.924724797740208,0.01372204187685516,-0.012141345462260563,0.18160906617381553,0.12964592648363796,-0.5377699929923815,0.046479968109564895,0.385959790713197
2013-07-01,0.011552184492875468,-0.6715245708421196,-0.8170888468809073,-0.3782004389173378,-0.17526413921690492,0.22250058717607463,-0.463681940072285,-0.012868632707774906,-0.13433131082808186,-0.6751879395667482,-1.3022533286568494,-0.07918781725888227,0.03340757238307357,0.8384093782323869,-0.09857072449482504,-0.420581066222679,-0.8980762832799372,0.04486853153325814,-0.005793321846039437,0.17919984236134,-0.07669341472207988,-0.514482301043469,-0.12536781547359965,0.26538418218218307
2013-08-01,0.06355597699177495,-0.6640298265729108,-0.6983238815374921,-0.37673738112655497,-0.17526413921690492,0.2491192358882016,-0.44176285414480465,-0.12225201072386066,-0.0902856409068389,-0.5512848279279755,-1.3954536977592114,-0.05482233502537989,-0.028953229398663467,0.9039190897597974,-0.09857072449482504,-0.408882692158512,-0.8731880342736265,-0.04516604629329738,0.010417216452704478,0.045119594613541515,-0.07669341472207988,-0.5076198371134206,0.07156853973910682,0.27559904277981473
2013-09-01,-0.11682941144546982,-0.6605873910568388,-0.7046754883427852,-0.3752743233357722,-0.22995649471721563,0.17396069834807773,-0.44735921650926763,-0.12010723860590014,-0.05257559232680087,-0.28458074697110464,-1.4220052808661032,-0.01421319796954212,-0.046770601336302675,0.9181703252499711,0.0,-0.4100971592412264,-0.8491837335538036,-0.25501973514574927,0.018406577769500426,-0.2024441428189484,-0.22995649471721563,-0.4995887373237914,0.01902720466435248,0.18946451825342653
2013-10-01,0.160392712066134,-0.6374986730382213,-0.6773534971644612,-0.4045354791514267,0.041019266625230644,0.13857355358960297,-0.41121604290544356,0.025737265415549812,-0.03590445723368836,-0.2256112991216931,-1.3456952688633994,0.046700507614214,0.0022271714922052475,0.8462245718882886,0.0,-0.3942046682627429,-0.8291274924153191,-0.2523487137445205,0.024274411793621435,-0.21644425651083216,0.041019266625230644,-0.4615639747026369,-0.053663662877697305,0.16375505769158435
2013-11-01,0.4622057178994253,-0.6150554918578267,-0.6078890989287965,-0.4337966349670818,-0.05096333126165322,0.12855241525092,-0.3788037775445949,-0.055764075067024084,-0.01276581714504871,-0.199159931669042,-1.222202130065296,0.08121827411167591,-0.0022271714922048515,0.7774968394437418,0.09857072449482504,-0.384537252033105,-0.8089247272337423,-0.21411476136010515,0.011901250666212851,-0.20134894421505645,-0.14953405575647827,-0.4502304458673808,-0.09176902204791726,0.16534139912760612
2013-12-01,0.15586809975318033,-0.5987790348056863,-0.5220919974795211,-0.3762496951962938,0.2722187694220014,0.14483676505128001,-0.3830010493179423,0.06005361930294893,-0.02373992543367591,0.14503251563304603,-1.1446153895943387,0.13401015228426288,0.06904231625835199,0.8450752787035969,0.09857072449482504,-0.37556430539053237,-0.7883766580899491,-0.29495943882104836,-0.006662630590356183,-0.27121951338737244,0.17364804492717636,-0.450847553391315,-0.0634811039535762,0.1713891870952248
2014-01-01,-0.0259789189248047,-0.5844055772484185,-0.5502205419029615,-0.3187027554255066,0.11311373523927908,0.15141313708604065,-0.37833741401422305,0.16300268096514742,-0.05062510249182015,-0.02479753763736648,-1.0213763019616544,0.13401015228426288,0.13140311804008942,0.7666934835076425,0.09857072449482504,-0.3700325309810529,-0.774926098387835,-0.15479031820856437,-0.008701366574046271,-0.10416521571674422,0.014543010744454035,-0.43527526344250544,-0.10766855727526192,0.19748848835041824
2014-02-01,-0.0374370034010972,-0.5889412689122121,-0.5490107120352867,-0.25140209704950023,0.006215040397762674,0.22500587176074535,-0.36737787105048286,0.08579088471849874,-0.0569069291845511,-0.738794360336222,-1.1023700789217221,0.13401015228426288,0.10913140311804011,0.8289851741179174,0.09857072449482504,-0.3748147159418363,-0.7670290956846584,-0.1411376964423851,-0.01074010255773633,-0.08423076725783402,-0.09235568409706237,-0.44849596349219734,0.0792986647570646,0.27142327605576677
2014-03-01,0.06970444796630834,-0.5914944235533711,-0.4619029615626969,-0.1841014386734946,0.12057178371659402,0.3249040945744926,-0.34965605689634965,0.057908847184986505,-0.14582427717779395,-0.20429211741580028,-0.990989678969134,0.12588832487309734,0.06904231625835199,0.8135846454430524,0.09857072449482504,-0.38276640097472064,-0.7591556773125099,0.2182667451224104,-0.010706986034141247,0.36409102230020435,0.02200105922176898,-0.45569275953984223,-0.10103721253168829,0.39934885250637947
2014-04-01,0.17270294622397236,-0.5946374387633198,-0.3190422180214241,-0.14020970495001223,0.22249844623990045,0.36342284506380657,-0.332633788037777,0.11796246648793582,-0.18617720477800603,-0.5947821970652357,-0.8491522660514415,0.13604060913705687,0.06458797327394228,0.8305941845764852,0.09857072449482504,-0.40452646921811686,-0.7488630803417005,0.4497332284318314,-0.01482585365601255,0.6359104332098374,0.12392772174507541,-0.4822745639872703,-0.14312703343715683,0.4375456171163944
2014-05-01,0.02804951676739879,-0.5514890996704644,-0.44234404536862004,-0.09631797122653055,0.1429459291485393,0.24661395130353084,-0.32866969802961327,0.07077747989276141,-0.16796684861405026,-0.36066658096505233,-0.7824266174422301,0.13197969543147287,0.06904231625835199,0.8487530168946097,0.09857072449482504,-0.42358436790175513,-0.7366889153183679,0.3383701480301207,-0.016848031377906497,0.506336996644171,0.04437520465371425,-0.4837697698255053,-0.07857913271489658,0.29056032366852025
2014-06-01,-0.027131015828953144,-0.5437467627745127,-0.6047637051039697,-0.028041940990002585,-0.14791796146674968,0.17145541376340698,-0.32307333566514995,0.02359249329758701,-0.17048478522486593,-0.28108261850245614,-0.7893167439540469,0.13401015228426288,-0.06458797327394189,0.9121940006895756,0.09857072449482504,-0.3970109771229859,-0.7236740537602824,0.40521840889106214,-0.014817574525116478,0.5757031941159281,-0.24648868596157472,-0.4823080692566652,0.008806099330236128,0.18795937446836394
2014-07-01,-0.052253686577981545,-0.5555116459938583,-1.030321361058601,0.04023408924652469,-0.0037290242386576926,0.16581852344789794,-0.29975515914655376,0.025737265415549812,-0.1668041900825228,-0.6180250519074748,-0.7357928560650462,0.13401015228426288,0.095768374164811,0.8411676818756461,0.09857072449482504,-0.3744759391302994,-0.7085936462167343,0.49797028819262973,-0.014817574525116478,0.6647744782751526,-0.10229974873348273,-0.459496593341781,-0.0678104047569994,0.1971289756141769
2014-08-01,-0.17729587272718578,-0.5208109620673342,-0.4671455576559546,-0.1582540843696662,0.2175264139216905,0.061222892037892364,-0.29182697913023364,0.015013404825737327,-0.13755898973650155,1.1338988821663012,-0.8770849489652464,0.14010152284264055,0.12249443207126962,0.7181933111136648,0.09857072449482504,-0.3809531265596094,-0.6904360590870204,0.453614143190547,-0.010764939950428876,0.5911731329270485,0.11895568942686546,-0.4492005856362109,0.19202699745661778,0.08524570069158292
2014-09-01,-0.05875315273826501,-0.5445898605687896,-0.3396093257718967,-0.3567422579858578,0.24984462399005347,-0.04994911140687383,-0.28296607205316454,0.008579088471850065,-0.10158598770879047,1.2238270754781377,-0.7833408780056815,0.14416243654822422,0.10022271714922071,0.6198138145040797,0.09857072449482504,-0.381359465553399,-0.671473371015689,0.3862568015179853,-0.0067040262448452015,0.48784278922677576,0.15127389949522843,-0.4621052367611401,-0.1068814042130819,-0.08058728320994056
2014-10-01,-0.3790881923270549,-0.5357468269176803,-0.30422180214240707,-0.22750548646671578,0.05593536357986318,-0.11383386831597916,-0.2848315261746522,0.0471849865951744,-0.09529374914861291,0.27379759526380715,-0.7307393414815789,0.14416243654822422,0.095768374164811,0.39662107803700714,0.09857072449482504,-0.37424058990325715,-0.6521384488823835,0.43400461478449903,-0.008742762228535261,0.5292983639331119,-0.04263536091496186,-0.4606743260345405,-0.06715025093292926,-0.28700912437477105
2014-11-01,-0.7056411972028864,-0.5148045958579549,-0.31984877126654065,-0.09826871494757382,0.21504039776258552,-0.1595553119862209,-0.29275970619097497,0.032171581769437074,-0.11211585631969972,-0.1157848875027528,-0.6642774529995225,0.07106598984771674,0.095768374164811,0.18744971842316943,0.0,-0.3785385283877059,-0.6307736794960738,0.5423132103164882,-0.014560921467269033,0.6544290666361878,0.21504039776258552,-0.4428906955296287,-0.0909515674184238,-0.8511899261754202
2014-12-01,-0.6646310989004216,-0.4995551992046247,-0.6352110901071204,0.07290904657400589,0.17526413921690492,-0.21655053628748158,-0.29182697913023364,0.0042895442359248415,-0.12993403214317015,-0.11330437807211939,-0.5887660030995855,0.03248730964466899,0.0022271714922052475,-0.18951844615561456,0.0,-0.369521074077291,-0.6100984413309732,0.6151448235737461,-0.010326146012824625,0.7450788557169162,0.17526413921690492,-0.4411783132431321,-0.11367456408307641,1.142635667821331
2015-01-01,-0.7075855728780789,-0.4987041476575717,0.1557151858853182,0.24408680809558628,0.16780609073959,-0.29327487669302416,-0.2925265244257889,0.019302949061662168,-0.13120080934916276,-0.7781508115407791,-0.40165893792858415,-0.08324873096446594,0.020044543429844457,-0.4874152396276293,-0.19714144898965008,-0.3396016014054613,-0.5891540673103476,0.7550098179870796,-0.03024159538852416,0.8862106273362423,0.3649475397292401,-0.4247026163835909,-0.31779529420171626,0.6016941056604579
2015-02-01,-0.8346080403812934,-0.5032567731175985,0.16216761184625078,0.1948305291392339,-0.1976382846488502,-0.37375714397557347,-0.2976565232598827,-0.16300268096514742,-0.11904321879411486,-0.17019467076382871,-0.46733035510932014,-0.20913705583756256,-0.10467706013363001,-0.31846914147799127,-0.19714144898965008,-0.3420870407368601,-0.5648452318816635,0.7367953032336527,-0.015457137387003161,0.8558385220277676,-0.0004968356592001122,-0.43487771237758,0.16350045020637016,1.173605524984288
2015-03-01,-0.9580655435912444,-0.5063677167437721,0.62351606805293,0.14557425018288223,-0.20509633312616538,-0.4673921553276441,-0.29555788737320665,-0.20375335120643417,-0.11334619198962981,-0.3734478012058658,-0.742281678825118,-0.2842639593908621,-0.15367483296213794,-0.3676588897827838,-0.29571217348447515,-0.3381383514563816,-0.5382864098979827,0.8136598943492015,-0.0273832254459091,0.9270060863388313,0.09061584035830977,-0.4361516290737108,0.5883446703381379,1.2712657528933506
2015-04-01,-1.0212272150348978,-0.4958348954867264,0.46956521739130436,0.37624969519629314,-0.38408949658172775,-0.445157754638691,-0.2864637985309541,-0.30241286863270783,-0.1150572088733406,-0.5307848308596739,-0.45941997853510325,-0.3390862944162427,-0.2293986636971045,-0.2600850476956674,-0.29571217348447515,-0.3225586977834195,-0.512413917642611,0.8132896537589321,-0.01900474497689636,0.9283468626322727,-0.0883773230972526,-0.4381668165647078,-0.3810705670894743,1.7115853394216733
2015-05-01,-0.8351294276396215,-0.46425516152051377,0.4170384373030876,0.6069251402097048,-0.46115599751398395,-0.40820480701479667,-0.2577824414130807,-0.3538873994638071,-0.11289501106694753,-0.3869751710875493,-0.5138848266323287,-0.5076142131979686,-0.28285077951002213,-0.14423629467877266,-0.49285362247412523,-0.313494549820334,-0.49230361777625387,0.7886091515540172,-0.018317577112342942,0.9015041626209648,0.03169762496014128,-0.4168295786415581,0.11855132698166693,2.83011157437111
2015-06-01,-0.8522873384268744,-0.46912234507420564,0.2740768746061752,0.4611070470616923,-0.6326911124922312,-0.4620684255852186,-0.2542847149352938,-0.4332439678284182,-0.11414964109425263,-0.4807812063014574,-0.40530060765964204,-0.5137055837563442,-0.4476614699331845,-0.17112975520055182,-0.5914243469689503,-0.2875814916795081,-0.47824193361991507,0.8616258851064094,0.008210828068323295,0.975775526200662,-0.0412667655232809,-0.42277496892447036,-0.2113006910211339,2.7001056890644617
2015-07-01,-1.0541486583957191,-0.4683608373890524,-0.22961562696912413,0.3152889539136791,-0.4909881914232444,-0.558835042668128,-0.2573160778827089,-0.510455764075067,-0.11483682434572252,-0.6818848248616954,-0.29666865295842154,-0.49137055837563354,-0.4209354120267257,-0.3262843351338928,-0.5914243469689503,-0.26628317460345724,-0.4630397369939595,0.9378359437498739,-0.002073922290007857,1.0526727680955965,0.1004361555457059,-0.39669094190637855,-0.2680281071585414,1.7127240951938638
2015-08-01,-1.0431287614917586,-0.4718956390663962,0.2842596093257719,0.44403803950255993,-0.5854568054692356,-0.6314882956235811,-0.2477556255100845,-0.5319034852546917,-0.10178554850151533,-0.6230807185329484,-0.37879109672027156,-0.4954314720812174,-0.4654788418708237,-0.5223537524422481,-0.5914243469689503,-0.2704600578234294,-0.4451964816183251,1.0109386260107214,-0.010212307962971845,1.1127241745122367,0.005967541499714679,-0.3942285637369825,0.2768153727834519,1.20892841809038
2015-09-01,-1.1238053621694244,-0.4720618981566857,0.18212980466288595,0.5727871250914408,-0.6078309509011809,-0.652156893447115,-0.24962107963157215,-0.5319034852546917,-0.06996167565124059,-0.6431092886863621,-0.5761338348012064,-0.5441624365482223,-0.4877505567928728,-0.5200551660728653,-0.6505667816658453,-0.26800768786716644,-0.4303309425390194,0.9070266374881804,-0.007974872837723912,0.9769883131394209,0.04273583076466436,-0.3920438371277806,0.520980402627224,1.2540148353333362
2015-10-01,-1.0925079674143638,-0.45166308801244376,0.24342785129174543,0.6517922457937088,-0.6625233064014916,-0.6408831128160964,-0.24728926197971235,-0.5769436997319034,-0.06539780708718453,-0.5651413138606287,-0.4164052326449269,-0.5928934010152275,-0.567928730512249,-0.5023560510286176,-0.6899950714637753,-0.2702540287533579,-0.41880822706827403,0.8862468843593166,-0.009814909679856654,0.9516446914465012,0.02747176506228366,-0.3848496887370829,-0.27724218316633575,1.275754739101545
